Policy Name,Department,mincost,maxcost
Adult Education Subsidies,default,,300
Agriculture Subsidies,default,,2800
Airline Tax,tax,,0
Alcohol Law,alcohollaw,UNCANCELLABLE,0
Alcohol Tax,tax,,0
Armed Police,armedpolice,,960
Ban Sunday Shopping,default,,0
BioFuel Subsidies,default,,400
Border Controls,bordercontrols,UNCANCELLABLE,280
Bus Lanes,default,,640
Bus Subsidies,default,,1552
Carbon Tax,tax,,0
Car Emissions Limits,default,,80
Car Tax,default,MULTIPLYINCOME,0
CCTV Cameras,cctv,,720
Child Benefit,default,,4320
Childcare Provision,default,,1520
Citizenship Tests,default,,50
Clean Energy Subsidies,default,,1560
Clean Fuel Subsidy,default,,320
Community Policing,default,,320
Consumer Rights,consumerrights,,8
Corporation Tax,tax,MULTIPLYINCOME,0
Creationism,creationism,UNCANCELLABLE,0
Curfews,curfews,,200
Death Penalty,deathpenalty,,0
Detention Without Trial,detention,,2
Disability benefit,default,,420
Faith School Subsidies,default,,1160
Foreign Aid,default,UNCANCELLABLE,2490
Free Bus Passes,default, ,800
Free Eye Tests,default,,240
Free School Meals,default,,320
Gambling,gambling,,0
Gated Communities,gatedcommunities,,0
Handgun Laws,gunlaws,UNCANCELLABLE,4
Hybrid Cars Initiative,default,,200
ID Cards,idcards,,1200
Import Tariffs,default,,0
Income Tax,tax,UNCANCELLABLE;MULTIPLYINCOME,0
Inheritance Tax,inheritancetax,,0
Intelligence Services,intel,UNCANCELLABLE,1600
Internet Censorship,internetcensorship,,400
Internet Tax,tax,,0
Jury Trial,jurytrial,,200
Labour Laws,labourlaws,UNCANCELLABLE,160
Legal Aid,default,,80
Legalize Prostitution,default,,0
Luxury Goods Tax,tax,,0
Married Tax Allowance,marriedtax,,5200
Maternity Leave,maternityleave,,0
Micro-Generation Grants,default,,1100
Military Spending,militaryspending,UNCANCELLABLE,15600
National Monorail System,default,,2320
Mortgage Tax Relief,default,,920
Narcotics,narcotics,UNCANCELLABLE,0
National Service,nationalservice,,80
Organ Donation,organdonation,,8
Organic Farming Subsidy,default,,800
Petrol Tax,tax,,0
Phone Tapping,phonetapping,,40
Plastic Bag Tax,default,,0
Police Force,default,UNCANCELLABLE,2320
Pollution Controls,pollutioncontrols,,24
Prisoner Tagging,default,,6.4
Prisons,default,UNCANCELLABLE,1920
Property Tax,tax,,0
Public Libraries,default,,800
Racial Profiling,default,,0
Rail Subsidies,default,,4800
Recycling,recycling,,240
Road Building,roadbuilding,UNCANCELLABLE,4100
Rural Development Grants,default,,400
Sales Tax,tax,MULTIPLYINCOME,0
Satellite Road Pricing,default,,2000
Subsidised School Buses,default,,520
School Prayers,schoolprayers,,0
Science Funding,sciencefunding,UNCANCELLABLE,520
Small Business Grants,default,,4700
Speed Cameras,speedcameras,,8
State Health Service,healthservice,,14400
State Housing,default,,6400
State Pensions,default,,14000
State Schools,stateschools,,7360
Stem Cell Research,default,,160
Tax Shelters,default,,400
Technology Colleges,default,,670
Technology Grants,default,,3000
Telecommuting Initiative,default,,500
Tobacco Tax,tax,,0
Toll Roads,default,,0
Unemployed Benefit ,default,,5440
University Grants,universitygrants,,2600
Welfare Fraud Dept,welfarefraud,,0
Winter Fuel Subsidy,default,,2000
Youth Club Subsidies,default,,220
Green Home Standards,default,,1560
