,,,,zone,def,min,max,ishighgood,icon,,,,,,
#,Lifespan,Lifespan,"A general indicator for the health of your citizens that measures not just raw lifespan, but also fitness and the general wellbeing of people",PUBLICSERVICES,0.5,0,1,1,icons_lifespan.dds,#,#,"Retired_freq,-0.3+(0.6*x)","WorkerProductivity,-0.15+(0.15*x)",,
#,LiteracyRate,Literacy,"A measurement of the level of education of the average citizen. Not only literacy, but numeracy and general understanding of everything from history to IT and science",PUBLICSERVICES,0.18,0,1,1,icons_literacyrate.dds,#,#,"WorkerProductivity,-0.2+(x*0.4)",,,
#,CrimeRate,Crime,"An indicator of the level of general non violent crime in your nation. This includes crimes such as car crime, burglary etc, but also covers fraud and other similar crimes",LAWANDORDER,0.5,0,1,0,icons_crimerate.dds,#,#,"_All_,0-(0.13*x)","GDP,0-(0.08*x)",,
#,ViolentCrimeRate,Violent Crime,"A more worrying indicator than the overall crime level, this measures the frequency of violent crimes such as murder, rape and muggings. Violent crime is a worry for everyone in the country.",LAWANDORDER,0.5,0,1,0,icons_violentcrimerate.dds,#,#,"_All_,0-(0.16*x)","Retired,0-(0.18*x)",,
#,PovertyRate,Poverty,"One of the most widely used measures of comparison between nations. The poverty level is periodically reassessed, but all nations should strive to get their poverty rate as low as possible.",WELFARE,0.64,0,1,0,icons_povertyrate.dds,#,#,"Poor,0.3-(x^2)","CrimeRate,0+(0.2*x)","Poor_freq,-0.5+(1.0*x)","RacialTension,0+(0.22*x)"
#,AverageIncome,Average Income,"A simple measurement of the average wage or income for your citizens. This statistic can be misleading because of the effect of inequality, the average income may be very different to the income of most of your citizens in an unequal society",ECONOMY,0.5,0,1,1,icons_averageincome.dds,#,#,,,,
#,Equality,Equality,"There are many ways to measure equality. Conservatives talk of equality of opportunity, socialists talk of equality of outcome. This is just a simple measurement of the distribution of wealth, financial equality of outcome.",WELFARE,0.5,0,1,1,icons_equality.dds,#,#,"Socialist,-0.3+(0.6*x)",,,
#,AirQuality,Air Quality,"A general measurement of the quality of the environment, including air quality, but also measuring noise pollution, litter, water quality and many other measures of pollution",PUBLICSERVICES,0.5,0,1,1,icons_airquality.dds,#,#,"Environmentalist,-0.4+(0.8*x)",,,
#,WorkingWeek,Working Week,"The number of hours worked on average by your citizens in a week. In a fluctuating economy, this may vary from the contracted hours as people give into pressure to work unpaid or paid overtime to keep their jobs. To employees, shorter hours are seen as a good thing",ECONOMY,0.5,0,1,0,icons_workingweek.dds,#,#,"TradeUnionist,0.1-(0.1*x)",,,
#,InternetAccess,Internet Access,This measures the percentage of your population with access to the internet at home. It is seen as a useful yardstick for measuring the level of IT literacy of a population,ECONOMY,0.5,0,1,1,icons_internetaccess.dds,#,#,"WorkerProductivity,0.2*(x^4)","LiteracyRate,-0.1+(0.2*x)",,
